,season,region_id,source,term,value,model,member
0,DJF,1,conversion,bias,-0.005746811980478171,MRI-ESM2-0,historical_ens_ssp370_ens
1,DJF,1,conversion,change,0.046119482931136734,MRI-ESM2-0,historical_ens_ssp370_ens
2,DJF,1,conversion,uncalibrated_change,0.037080541038753786,MRI-ESM2-0,historical_ens_ssp370_ens
3,DJF,1,dynamical,bias,-0.006894268292647307,MRI-ESM2-0,historical_ens_ssp370_ens
4,DJF,1,dynamical,change,-0.015233903195838118,MRI-ESM2-0,historical_ens_ssp370_ens
5,DJF,1,dynamical,uncalibrated_change,-0.012239282365385483,MRI-ESM2-0,historical_ens_ssp370_ens
6,DJF,1,nonlinear,bias,0.0016223052654307504,MRI-ESM2-0,historical_ens_ssp370_ens
7,DJF,1,nonlinear,change,-0.013452273718755403,MRI-ESM2-0,historical_ens_ssp370_ens
8,DJF,1,nonlinear,uncalibrated_change,-0.011018793549964094,MRI-ESM2-0,historical_ens_ssp370_ens
9,DJF,3,conversion,bias,0.0012504186639271256,MRI-ESM2-0,historical_ens_ssp370_ens
10,DJF,3,conversion,change,0.025180008313052324,MRI-ESM2-0,historical_ens_ssp370_ens
11,DJF,3,conversion,uncalibrated_change,0.01898939142016173,MRI-ESM2-0,historical_ens_ssp370_ens
12,DJF,3,dynamical,bias,-0.011775753340132136,MRI-ESM2-0,historical_ens_ssp370_ens
13,DJF,3,dynamical,change,-0.007811813441081936,MRI-ESM2-0,historical_ens_ssp370_ens
14,DJF,3,dynamical,uncalibrated_change,-0.007516312515430703,MRI-ESM2-0,historical_ens_ssp370_ens
15,DJF,3,nonlinear,bias,0.0019072983573376542,MRI-ESM2-0,historical_ens_ssp370_ens
16,DJF,3,nonlinear,change,-0.0042304773695447115,MRI-ESM2-0,historical_ens_ssp370_ens
17,DJF,3,nonlinear,uncalibrated_change,-0.0038891903079920466,MRI-ESM2-0,historical_ens_ssp370_ens
18,DJF,4,conversion,bias,-0.04561158577367473,MRI-ESM2-0,historical_ens_ssp370_ens
19,DJF,4,conversion,change,0.006182931693924592,MRI-ESM2-0,historical_ens_ssp370_ens
20,DJF,4,conversion,uncalibrated_change,0.0017810993031026822,MRI-ESM2-0,historical_ens_ssp370_ens
21,DJF,4,dynamical,bias,-0.0005397175316124985,MRI-ESM2-0,historical_ens_ssp370_ens
22,DJF,4,dynamical,change,-0.009812332707418351,MRI-ESM2-0,historical_ens_ssp370_ens
23,DJF,4,dynamical,uncalibrated_change,-0.0009312548682310209,MRI-ESM2-0,historical_ens_ssp370_ens
24,DJF,4,nonlinear,bias,0.0004757108152903135,MRI-ESM2-0,historical_ens_ssp370_ens
25,DJF,4,nonlinear,change,-0.0011075387379136253,MRI-ESM2-0,historical_ens_ssp370_ens
26,DJF,4,nonlinear,uncalibrated_change,-0.00020839966700308567,MRI-ESM2-0,historical_ens_ssp370_ens
27,DJF,5,conversion,bias,-0.02726382158496379,MRI-ESM2-0,historical_ens_ssp370_ens
28,DJF,5,conversion,change,0.02056224840349683,MRI-ESM2-0,historical_ens_ssp370_ens
29,DJF,5,conversion,uncalibrated_change,0.010542038955197681,MRI-ESM2-0,historical_ens_ssp370_ens
30,DJF,5,dynamical,bias,0.0032449671854616682,MRI-ESM2-0,historical_ens_ssp370_ens
31,DJF,5,dynamical,change,-0.01295635830383342,MRI-ESM2-0,historical_ens_ssp370_ens
