date,ticker,tf,conf,dirn,src,atr_w,ai_w,atr_th,atr_gr,ai_th,ai_gr
2026-01-01,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,huggingface:meta-llama/llama-3.1-8b-instruct,0.15,0.29,1,1,1,1
2026-01-01,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.2,1.66,1,1,1,1
2026-01-13,RELIANCE.NS,1D,LOW,BEARISH,gemini:gemini-flash-lite-latest,0.24,1.24,1,1,1,1
2026-01-23,RELIANCE.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.3,0.82,1,1,1,1
2026-02-05,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.57,1,1,1,1
2026-02-17,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.21,0.53,1,1,0,1
2026-02-27,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.45,1,1,1,1
2026-02-27,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.23,1.29,0,0,0,0
2026-03-12,RELIANCE.NS,1D,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.33,3.18,1,1,1,1
2026-03-24,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.24,0.61,1,1,0,1
2026-03-24,RELIANCE.NS,1D,LOW,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.31,0.86,1,1,1,1
2026-04-08,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.33,2.61,0,1,1,1
2026-04-21,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.25,0.63,1,1,1,1
2026-05-01,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.19,0.51,0,0,0,0
2026-05-01,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.25,1.4,1,1,1,1
2026-05-13,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.59,1,1,1,1
2026-05-13,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.3,2.59,1,1,1,1
2026-05-25,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.27,1.48,0,1,1,1
2026-06-04,RELIANCE.NS,1D,MEDIUM,BEARISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.23,0.64,1,1,1,1
2026-06-16,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.19,0.48,1,1,0,0
2026-06-26,RELIANCE.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.18,0.47,0,0,0,0
2026-07-08,RELIANCE.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.21,1.16,1,1,1,1
2026-01-01,SBIN.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.15,0.25,1,1,0,1
2026-01-01,SBIN.NS,1D,LOW,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.67,1,1,1,1
2026-01-13,SBIN.NS,INTRADAY,MEDIUM,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.15,0.35,0,1,0,0
2026-01-23,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.16,0.41,1,1,1,1
2026-01-23,SBIN.NS,1D,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.57,1,1,1,1
2026-02-05,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.23,0.59,1,1,0,1
2026-02-05,SBIN.NS,1D,MEDIUM,BULLISH,nvidia:meta/llama-3.1-8b-instruct,0.3,0.84,0,0,0,0
2026-02-17,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.27,0.68,1,1,1,1
2026-02-17,SBIN.NS,1D,LOW,BULLISH,nvidia:nvidia/llama-3.3-nemotron-super-49b-v1,0.35,0.56,1,1,1,1
2026-02-27,SBIN.NS,INTRADAY,MEDIUM,BULLISH,gemini:gemini-flash-lite-latest,0.2,0.49,1,1,1,1
2026-03-12,SBIN.NS,1D,MEDIUM,BEARISH,gemini:gemini-flash-lite-latest,0.32,0.89,1,1,1,1
