ticker,date,pred_time,direction,confidence,entry,ret_lo,ret_hi,est_high_pct,max_up,min_down,close_ret,dir_hit,graded_hit,midpoint_hit,exp_hit,far_cov,should_buy,pnl,dip_pnl,dip_filled,dip_pct
20MICRONS.NS,2026-04-29,09:15,BULLISH,MEDIUM,179.0,0.12,3.01,0.78,2.85,-0.35,0.51,1,1,1,1,1,1,0.477,,0,-0.68
20MICRONS.NS,2026-04-29,12:00,BULLISH,MEDIUM,181.48,0.09,2.17,0.56,1.44,-1.15,-0.86,1,1,1,1,1,1,0.262,0.262,1,-0.49
20MICRONS.NS,2026-04-29,14:00,BULLISH,MEDIUM,180.22,0.05,1.25,0.32,0.38,-0.46,-0.17,1,1,0,1,1,1,0.022,0.022,1,-0.28
20MICRONS.NS,2026-04-30,09:15,BEARISH,LOW,179.35,-4.26,-0.12,-1.0,0.26,-2.2,-1.51,1,1,1,1,1,0,,,0,-2.38
20MICRONS.NS,2026-04-30,12:00,BEARISH,LOW,177.24,-3.08,-0.09,-0.72,0.82,-0.45,-0.33,1,1,0,0,1,0,,,0,-1.72
20MICRONS.NS,2026-04-30,14:00,BEARISH,LOW,178.37,-1.78,-0.05,-0.41,0.14,-1.08,-0.96,1,1,1,1,1,0,,,0,-0.99
20MICRONS.NS,2026-05-04,09:15,BULLISH,HIGH,177.11,0.15,3.74,0.98,2.03,-0.27,1.07,1,1,1,1,1,1,0.677,,0,-0.79
20MICRONS.NS,2026-05-04,12:00,BULLISH,HIGH,179.84,0.11,2.7,0.71,0.09,-1.47,-0.47,1,0,0,0,1,1,-0.767,-0.196,1,-0.57
20MICRONS.NS,2026-05-04,14:00,BULLISH,HIGH,178.52,0.06,1.56,0.41,0.83,-0.31,0.27,1,1,1,1,1,1,0.109,,0,-0.33
20MICRONS.NS,2026-05-05,09:15,BEARISH,MEDIUM,176.7,-3.41,-0.1,-0.9,2.43,0.0,1.22,0,0,0,0,1,0,,,0,-2.14
20MICRONS.NS,2026-05-05,12:00,BEARISH,MEDIUM,178.93,-2.47,-0.07,-0.65,1.16,-0.2,-0.04,1,1,0,0,1,0,,,0,-1.55
20MICRONS.NS,2026-05-05,14:00,BEARISH,MEDIUM,180.35,-1.42,-0.04,-0.38,0.08,-0.83,-0.83,1,1,1,1,1,0,,,0,-0.89
20MICRONS.NS,2026-05-06,09:15,BEARISH,LOW,182.39,-2.56,-0.08,-0.6,0.93,-2.41,0.06,1,1,1,1,1,0,,,0,-1.43
