neutro,maschile,femminile,plurale,femminileplurale,raro
Cane,Cane,Cagna,Cani,Cagne,
Troia,Troio,Troia,Troie,Troie,
Puttan*,Puttano,Puttana,Puttani,Puttane,
Ebete,Ebete,Ebete,Ebeti,Ebeti,
Rincoglionit*,Rincoglionito,Rincoglionita,Rincoglioniti,Rincoglionite,
Maltrattat*,Maltrattato,Maltrattata,Maltrattati,Maltrattate,
Demente,Demente,Demente,Dementi,Dementi,
Porc*,Porco,Porca,Porci,Porche,
Termosifone,Termosifone,Termosifone,Termosifoni,Termosifoni,
Stradale,Stradale,Stradale,Stradali,Stradali,
Dismorf*,Dismorfo,Dismorfa,Dismorfi,Dismorfe,
Campione di sperma,Campione di sperma,Campionessa di sperma,Campioni di sperma,Campionesse di sperma,
Triceratopo,Triceratopo,Triceratopo,Triceratopi,Triceratope,
Terron*,Terrone,Terrona,Terroni,Terrone,
Accoltellat*,Accoltellato,Accoltellata,Accoltellati,Accoltellate,
Serbatoio idraulico,Serbatoio idraulico,Serbatoio idraulico,Serbatoi idraulici,Serbatoi idraulici,
Condominio,Condominio,Condominio,Condomini,Condominie,
Inalante di cocaina,Inalante di cocaina,Inalante di cocaina,Inalanti di cocaina,Inalanti di cocaina,
Leprecauno,Leprecauno,Leprecauna,Leprecauni,Leprecaune,
Trifosfato,Trifosfato,Trifosfato,Trifosfati,Trifosfate,
Lerci*,Lercio,Lercia,Lerci,Lerce,
Slinguazzat* da suo padre,Slinguazzato da suo padre,Slinguazzata da suo padre,Slinguazzati dal padre,Slinguazzate dal padre,
Megazord,Megazord,Megazord,Megazord,Megazord,
Ebre*,Ebreo,Ebrea,Ebrei,Ebree,
Scalz* nella valle dei chiodi arrugginiti,Scalzo nella valle dei chiodi arrugginiti,Scalza nella valle dei chiodi arrugginiti,Scalzi nella valle dei chiodi arrugginiti,Scalze nella valle dei chiodi arrugginiti,
Sciocchin*,Sciocchino,Sciocchina,Sciocchini,Sciocchine,
Disadattat*,Disadattato,Disadattata,Disadattati,Disadattate,
Imbecille,Imbecille,Imbecille,Imbecilli,Imbecilli,
Mongoloide,Mongoloide,Mongoloide,Mongoloidi,Mongoloidi,
Gatto,Gatto,Gatta,Gatti,Gatte,
Coniglio,Coniglio,Coniglia,Conigli,Coniglie,
Cretin*,Cretino,Cretina,Cretini,Cretine,
Anfibio,Anfibio,Anfibia,Anfibi,Anfibie,
Stronz*,Stronzo,Stronza,Stronzi,Stronze,
Zoccol*,Zoccolo,Zoccola,Zoccoli,Zoccole,
Puttanier*,Puttaniere,Puttaniera,Puttanieri,Puttaniere,
Mozzarella bio,Mozzarella bio,Mozzarella bio,Mozzarelle bio,Mozzarelle bio,
Cancro,Cancro,Cancro,Cancri,Cancri,
Negr*,Negro,Negra,Negri,Negre,
Con una grave malattia terminale,Con una grave malattia terminale,Con una grave malattia terminale,Con una grave malattia terminale,Con una grave malattia terminale,
Gravemente omosessuale,Gravemente omosessuale,Gravemente omosessuale,Gravemente omosessuali,Gravemente omosessuali,
Mattacchion*,Mattacchione,Mattacchiona,Mattacchioni,Mattacchione,
Proveniente dalla bollente provincia napoletana,Proveniente dalla bollente provincia napoletana,Proveniente dalla bollente provincia napoletana,Provenienti dalla bollente provincia napoletana,Provenienti dalla bollente provincia napoletana,
Soprammobile,Soprammobile,Soprammobile,Soprammobili,Soprammobili,
Flagello del mondo,Flagello del mondo,Flagello del mondo,Flagelli del mondo,Flagelle del mondo,
