source,local_id,requested_at
brand_c,C00079,2025-12-31
brand_c,C01937,2025-10-20
brand_c,C00986,2026-01-29
brand_c,C02871,2025-06-07
brand_c,C02121,2025-11-08
brand_c,C01988,2025-09-07
brand_c,C00339,2026-05-24
brand_c,C00347,2025-06-13
brand_c,C00947,2025-11-26
brand_c,C01516,2026-04-30
brand_c,C00416,2025-08-31
brand_c,C02308,2026-05-19
brand_c,C01392,2025-11-27
brand_c,C01922,2025-07-18
brand_c,C00069,2026-06-26
brand_c,C02878,2026-02-22
brand_c,C02211,2025-12-14
brand_c,C02262,2026-05-30
brand_c,C01732,2025-07-20
brand_c,C01098,2026-04-22
brand_c,C00207,2025-12-23
brand_c,C01662,2026-04-16
brand_c,C01113,2026-03-19
brand_c,C02413,2025-08-08
brand_c,C02186,2026-06-13
brand_c,C02272,2026-03-15
brand_c,C01565,2026-03-13
brand_c,C00157,2026-03-25
brand_c,C01991,2025-11-08
brand_c,C02049,2026-01-14
brand_c,C00139,2025-08-05
brand_c,C02624,2025-09-02
brand_c,C00331,2025-06-16
brand_c,C01157,2026-05-29
brand_c,C02135,2025-09-30
brand_c,C00505,2025-12-13
brand_c,C01474,2026-02-01
brand_c,C01660,2026-02-15
brand_c,C01281,2025-08-30
brand_c,C00263,2025-12-30
brand_c,C00577,2026-02-14
brand_c,C01204,2025-06-15
brand_c,C00135,2026-01-21
brand_c,C01532,2026-02-19
brand_c,C01529,2025-06-21
brand_c,C02971,2026-01-12
brand_c,C02258,2026-06-12
brand_c,C01324,2026-01-30
brand_c,C00714,2026-03-18
brand_c,C00747,2025-09-22
brand_c,C01153,2025-06-24
brand_c,C01694,2025-12-28
brand_c,C01755,2025-12-15
brand_c,C02032,2025-07-31
brand_c,C00328,2025-06-02
brand_c,C01370,2025-06-10
brand_c,C01837,2026-05-05
brand_c,C02881,2025-12-28
brand_c,C01460,2026-03-06
brand_c,C00309,2025-08-04
brand_c,C01172,2025-06-19
brand_c,C01369,2026-02-27
brand_c,C01844,2026-06-03
brand_c,C00336,2025-08-06
brand_c,C00710,2026-01-01
brand_c,C00706,2026-03-31
brand_c,C02780,2025-09-21
brand_c,C02715,2025-06-28
brand_c,C02726,2025-11-05
brand_c,C00897,2026-01-10
brand_c,C00486,2025-11-27
brand_c,C02506,2026-03-21
brand_c,C01849,2026-03-28
brand_c,C02822,2025-09-01
brand_c,C01171,2025-06-15
brand_c,C02208,2025-10-23
brand_c,C01886,2025-11-25
brand_c,C01236,2026-04-23
brand_c,C01635,2026-03-26
brand_c,C02981,2026-06-21
brand_c,C01347,2026-05-01
brand_c,C00077,2025-09-14
brand_c,C00262,2026-03-14
brand_c,C01986,2025-08-09
brand_c,C00494,2026-04-14
brand_c,C01318,2025-10-26
brand_c,C00285,2025-11-07
brand_c,C02959,2026-03-06
brand_c,C02044,2026-01-15
brand_c,C02689,2026-04-18
brand_c,C01316,2026-01-16
brand_c,C02794,2026-06-21
brand_c,C01457,2026-05-01
brand_c,C02290,2025-07-29
brand_c,C01643,2025-11-23
brand_c,C00771,2026-02-13
brand_c,C00017,2025-08-08
brand_c,C01547,2025-06-24
brand_c,C01703,2025-08-23
brand_c,C02504,2026-06-06
brand_c,C01753,2026-05-10
brand_c,C01955,2025-10-01
brand_c,C02485,2026-06-04
brand_c,C02363,2026-02-27
brand_c,C00715,2026-05-09
brand_c,C00789,2025-12-03
brand_c,C01977,2025-07-21
brand_c,C00701,2026-04-24
brand_c,C01312,2026-04-07
brand_c,C01675,2025-06-20
brand_c,C02554,2026-02-11
brand_c,C01722,2026-06-19
brand_c,C01233,2025-12-08
brand_c,C02179,2025-12-17
brand_c,C01669,2025-07-25
brand_c,C00813,2025-06-12
brand_c,C01007,2025-10-01
brand_c,C02527,2025-12-14
brand_c,C01041,2025-10-28
brand_c,C01195,2025-10-15
brand_c,C01704,2026-02-06
brand_c,C00726,2026-01-11
brand_c,C01854,2026-03-02
brand_c,C02034,2025-06-13
brand_c,C02956,2025-09-17
brand_c,C02149,2026-02-22
brand_c,C02183,2026-05-05
brand_c,C01592,2026-01-23
brand_c,C02920,2026-05-18
brand_c,C01834,2025-09-13
brand_c,C01158,2025-06-08
brand_c,C01978,2025-09-23
brand_c,C01290,2025-06-19
brand_c,C02787,2025-10-18
brand_c,C02214,2026-01-12
brand_c,C01546,2025-07-11
brand_c,C02846,2026-01-30
brand_c,C02923,2025-11-25
brand_c,C01185,2025-10-27
brand_c,C00778,2025-11-22
brand_c,C01413,2026-05-14
brand_c,C01049,2026-01-29
brand_c,C02630,2026-03-17
brand_c,C01527,2025-08-27
brand_c,C02184,2025-10-16
brand_c,C01757,2026-02-06
brand_c,C02925,2025-10-08
brand_c,C02642,2026-06-23
brand_c,C01468,2025-12-23
brand_c,C00001,2026-03-30
