ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R1_LP13_01,Guaqui - Desaguadero,LP,4.7,4,2.2,3.4,1,3.6,1
R1_LP13_02,Tiahuanacu - Guaqui,LP,4.3,4,2.1,3.4,1.5,2.2,1
R1_LP13_03,Acc. A Tambillo - Tiahuanacu,LP,4.4,4,2.1,3.9,1.2,3.1,1
R1_LP13_04,Laja - Acc. A Tambillo,LP,3.8,4,2,3.1,1,2.9,1
R1_LP13_05,Rio Seco - Laja,LP,3.2,4,2,3.4,1,2.9,1
R1_LP09_06,El Alto Urbano - Senkata,LP,2.3,4,2.6,4.1,2.5,3,3
R1_LP09_07,Senkata - Achica Arriba,LP,3.6,4,2.1,3,1.2,3.4,1
R1_LP09_08,Achica Arriba - Calamarca,LP,3.9,4,2,3.1,1,3.3,1
R1_LP09_09,Calamarca - Ayo Ayo,LP,4,4,2,3,1.2,3.2,1
R1_LP09_10,Ayo Ayo - Patacamaya,LP,3.6,4,2,3.3,1.6,3,1
R1_LP09_11,Patacamaya - Sica Sica,LP,3.8,4,2.1,3.2,1,2.9,1
R1_LP09_12,Sica Sica - Cr. Rt. A  Luribay,LP,3.8,4,2,3.3,1,2.8,1
R1_LP09_13,Cr. Rt. A  Luribay - Lequepampa,LP,4,4,2,3.8,1.7,2.8,1
R1_LP09_14,Lequepampa - Caracollo,LP,4.1,4,2,4.1,1.5,3.1,1
R1_LP09_15,Caracollo - Oruro Circunvalación,LP,3.9,4,2,2.5,1.2,3.1,1
R1_OR07_16,Oruro Circunvalación - Machacamarquita,OR,4.3,4,2.1,3.1,2,3,1
R1_OR07_17,Machacamarca - Poopo,OR,4.2,4,2.2,2.9,2.5,2.9,1
R1_OR07_18,Poopo - Pazña,OR,4.2,4,2.4,3,2.1,3,1
R1_OR07_19,Pazña - Challapata,OR,4.4,4,2.1,2.8,1.3,3,1
R1_PT02_20,Challapata - Crucero,PT,5,4,2.5,4,1,3.3,1
R1_PT02_21,Crucero - Tholapalca,PT,4.6,4,2.1,3.4,1.3,3.3,1
R1_PT02_22,Tholapalca - Ventilla,PT,4,4,2.4,4,2.1,4.2,1
R1_PT02_23,Ventilla - Belem Pampa,PT,3.4,4,2.3,3.6,2.1,4.2,1
R1_PT02_24,Belem Pampa - Yocalla,PT,3.2,4,2.5,3,2,5,1
R1_PT02_25,Yocalla - Tarapaya,PT,3.4,4,2.5,4.3,2,3.7,1
R1_PT02_26,Tarapaya - Potosi,PT,3.1,4,2.7,4.7,2,3.3,1
R1_PT01_27,Potosi - Potosi,PT,4.1,4,2.5,3.8,2,2.9,1
R1_PT09_28,Khuchu Ingenio - Totora Palca,PT,4,4,2.2,3.6,2,2.1,1
