Centre Name,CHP Operating Hours,AAC Operating Hours,Address,Postal Code,Category,longitude,latitude,Forsg, 
Sunset Way Residents' Committee,"Every 2nd and 4th Monday of the month,  9:00am - 12:00pm",,"113 Clementi Street 13, #01-39, 120113",120113,CHP,103.7701323,1.323684011,https://for.sg/chp-sunsetway-113clementi,
Gateway View Residents' Network,"Every 1st and 3rd Tuesday of the month,  9:00am - 12:00pm",,"204 Clementi Avenue 6, #01-09, 120204",120204,CHP,103.7632317,1.320985887,https://for.sg/chp-gatewayviewrn-204clementiave,
Clementi Meadows Residents' Network,"Every 2nd and 4th Wednesday of the month,  9:00am - 12:00pm",,"306 Clementi Avenue 4, #01-465, 120306",120306,CHP,103.7659013,1.321438261,https://for.sg/chp-clementimeadowsrn-306clementiave,
St Luke's ElderCare Active Ageing Centre (Care) @ Bukit Timah,,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","310 Clementi Avenue 4, #01-263, 120310",120310,AAC,103.7659449,1.32027016,,
Lions Befrienders AAC @Clementi 344,"Every Thursday,  2:00pm - 5:00pm","
Mon - Fri: 9.00am - 6.00pm

","344 Clementi Avenue 5, #01-132, 120344",120344,AAC & CHP,103.7690884,1.31812074,https://for.sg/chp-lb344clementi,
Lions Befrienders AAC @Clementi 367/366,"Every Wednesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","366 Clementi Avenue 2, #01-527, 120366",120366,AAC & CHP,103.7716764,1.312549536,https://for.sg/chp-lb366367clementi,
Lions Befrienders AAC @Clementi 367/366,"Wednesday, 9.00am to 12.00pm",Mon - Fri: 9.00am - 6.00pm,"367 Clementi Avenue 2, #01-525, 120367",120367,AAC & CHP,103.7716487,1.312940672,https://for.sg/chp-lb366367clementi,
Wellness Space @ Clementi Peaks,"Every 1st and 3rd Saturday of the month, 9:00am - 12:00pm |
Every 2nd and 4th Friday of the month, 2:00pm - 5:00pm",,"463 Clementi Avenue 1, #01-18, 120463",120463,CHP,103.7678634,1.310965805,https://for.sg/chp-463clementi,
West Coast Heights Resident's Network,"Every 2nd Wednesday of the month,  9:00am - 12:00pm",,"511 West Coast Drive #01-343, 120511",120511,CHP,103.7604116,1.310320167,https://for.sg/chp-westcoastheightsrn,
St Luke's ElderCare Active Ageing Centre (Care) @ Clementi,,"Mon - Fri: 9.00am - 6.00pm | Closed on Sat, Sun & Public Holiday","602 Clementi West Street 1, #01-25, 120602",120602,AAC,103.766301,1.305124151,,
West Coast Ville Residents' Network,"Every 1st and 3rd Friday of the month,  9:00am - 12:00pm",,"608 Clementi West Street 1, #01-89, 120608",120608,CHP,103.7665298,1.304341103,https://for.sg/wcrn608clementiwest,
SASCO@WestCoast,"Every 1st and 3rd Wednesday of the month,  2:00pm - 5:00pm","
Mon - Fri: 8.30am - 5.30pm

","704 West Coast Road, #01-431, 120704",120704,AAC & CHP,103.760538,1.306347506,https://for.sg/chp-sasco704westcoast,
West Coast Wellness Club (West Coast Wellness Centre),"Every Monday,  9:00am - 12:00pm",,"728 Clementi West Street 2, #01-412, 120728",120728,CHP,103.7638334,1.305202068,https://for.sg/chp-wc728clementi,
Lions Befrienders AAC @Clementi 420,"Every Tuesday,  9:00am - 12:00pm","
Mon - Fri: 9.00am - 6.00pm

","420A Clementi Avenue 1, #02-03, 121420",121420,AAC & CHP,103.7686373,1.309733312,https://for.sg/chp-lb420aclementi,
