window,catalog_offset,bgs_id,reference,name,length_m,year_known,precision,scan_quality,scan_url
1,0,1,SD20NE1,FORMBY 4,1182.62,1950,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1
1,0,2,SD20NE2,FORMBY SP318 - NOTIFICATION ONLY,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/2
1,0,3,SD20NE3,SP314 - NOTIFICATION ONLY,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/3
1,0,4,SD20NE4,FORMBY G59,107.29,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/4
1,0,5,SD20NE5,FORMBY SP301,28.96,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/5
1,0,6,SD20NE6/A,FORMBY G101A,98.45,1956,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/6
1,0,7,SD20NE6,FORMBY G101,163.07,1957,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/7
1,0,8,SD20NE7,SP317 - NOTIFICATION ONLY,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/8
1,0,9,SD20NE8,G1,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/9
1,0,10,SD20NE9,FORMBY G46,75.59,1948,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/10
2,123428,149759,SJ26SE1088,SHAFT-THE MILLINGS GROUND,84.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/149759
2,123428,149767,SJ26SE1096,PLAS-YM-MHOWYS SHAFT NO.2,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/149767
