window,catalog_offset,bgs_id,reference,name,length_m,year_known,precision,scan_quality,scan_url,selection_order,selection_reason,diversity_flags,max_name_similarity
1,0,8,SD20NE7,SP317 - NOTIFICATION ONLY,,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/8,1,base_window_1,missing_year;missing_length,
2,123428,149769,SJ26SE1098,A494 MOLD BY-PASS BH233,13.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/149769,2,base_window_2,borehole;missing_year,
3,246855,276570,SO91NW17,"BROOK FARM, BADGEWORTH",,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/276570,3,base_window_3,missing_year;missing_length,
4,370283,402660,SU18SE35,M4 SWINDON BH163A,9.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/402660,4,base_window_4,missing_year,
5,493710,558721,TM04SE20,POLICE HOUSE HINTLESHAM,76.2,1949,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/558721,5,base_window_5,pre_1950,
6,617138,720731,NY01NE44,STOCKHOW HALL ESTATE NO. 4 BORE (CROSS SECTION),42.0,,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720731,6,base_window_6,borehole;missing_year,
7,740565,860409,NS85NE207,KINGSHILL NO.1 COLLIERY 1/64,,1964,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/860409,7,base_window_7,missing_length,
8,863993,1006717,NS43NW10449/1B,"KILMARNOCK, BLACKWOOD DYEWORKS 1B",4.57,1970,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/1006717,8,base_window_8,length_under_5m,
9,987420,15566208,NY51NE65,M6 MOTORWAY TEBAY TO THRIMBY SECTION TP288,6.09,1965,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/15566208,9,base_window_9,trial_pit,
10,1110848,17935686,SP83NE4684,FISHERMEAD 7 HOUSING M288,7.0,1978,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/17935686,10,base_window_10,,
11,1234275,18919344,NZ31NW153,"WHINFIELD ROAD, DARLINGTON 1",5.0,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919344,11,base_window_11,,
12,1357703,22360839,SJ13SE8,TY NEWYDD RHIWLAS OSWESTRY,60.0,2026,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360839,12,base_window_12,year_2000_plus,
12,1357703,22360820,SU97SE106,OAKLANDS PARK WICK LANE ENGLEFIELD GREEN EGHAM,200.0,2026,± METRE,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/22360820,13,diversity:year_2000_plus+length_100m_plus,year_2000_plus;length_100m_plus,0.377
11,1234275,18919339,SE12NE1697,"560 HUNSWORTH LANE, EAST BIERLEY BRADFORD TP1",0.8,1996,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18919339,14,diversity:trial_pit+length_under_5m,trial_pit;length_under_5m,0.308
6,617138,720726,NY01NE39,ROWRAH HOLLINS 13,245.67,1915,± 10 METRES,not Entered,https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/720726,15,diversity:pre_1950+length_100m_plus,pre_1950;length_100m_plus,0.381
