class_id,synset,class_name,class_name_fa,class_dir,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
107,n01910747,jellyfish,عروس دریایی,class_0107,42,12,23,7,35,34.29,28.57,54.76,16.67,0.2083,0.5085,0.089531,14,21,7,25,17
111,n01930112,nematode,نماتود,class_0111,42,13,10,19,23,56.52,30.95,23.81,45.24,0.3681,0.7437,0.677639,14,9,19,25,17
12,n01532829,house finch,سهره خانگی,class_0012,42,28,10,4,38,73.68,66.67,23.81,9.52,0.5799,0.8503,0.005098,22,16,4,22,20
121,n01981276,king crab,خرچنگ شاه,class_0121,42,17,19,6,36,47.22,40.48,45.24,14.29,0.3199,0.6299,0.867939,23,13,6,19,23
149,n02074367,dugong,دوگونگ,class_0149,42,17,19,6,36,47.22,40.48,45.24,14.29,0.3199,0.6299,0.867939,19,17,6,19,23
15,n01558993,robin,سینه‌سرخ,class_0015,42,23,14,5,37,62.16,54.76,33.33,11.9,0.461,0.7594,0.187742,18,19,5,23,19
166,n02089867,Walker hound,سگ شکاری واکر,class_0166,42,7,22,13,29,24.14,16.67,52.38,30.95,0.1222,0.4211,0.00813,17,12,13,22,20
173,n02091244,Ibizan hound,سگ شکاری ایبیزن,class_0173,42,17,13,12,30,56.67,40.48,30.95,28.57,0.392,0.7262,0.584665,18,12,12,24,18
176,n02091831,Saluki,سالوکی,class_0176,42,5,14,23,19,26.32,11.9,33.33,54.76,0.1181,0.4879,0.063568,9,10,23,18,24
207,n02099601,golden retriever,گلدن رتریور,class_0207,42,21,15,6,36,58.33,50.0,35.71,14.29,0.422,0.7286,0.405032,19,17,6,19,23
214,n02101006,Gordon setter,گوردون ستر,class_0214,42,13,17,12,30,43.33,30.95,40.48,28.57,0.2738,0.608,0.584665,15,15,12,24,18
228,n02105505,komondor,کوموندور,class_0228,42,15,17,10,32,46.88,35.71,40.48,23.81,0.3087,0.6355,0.86005,17,15,10,21,21
