prompt_id,filename,class_id,class_name,class_name_fa,rows,duodit_wins,lightningdit_wins,ties,decisive_rows,duodit_win_rate_decisive_pct,duodit_share_all_pct,lightningdit_share_all_pct,tie_share_all_pct,duodit_wilson95_low,duodit_wilson95_high,binomial_p_value_vs_50_50,option_a_selected,option_b_selected,about_same_selected,duodit_shown_left,duodit_shown_right
class_0012_000012,class_0012/000012-class0012.png,12,house finch,سهره خانگی,14,6,5,3,11,54.55,42.86,35.71,21.43,0.2801,0.7873,1.0,7,4,3,7,7
class_0012_001012,class_0012/001012-class0012.png,12,house finch,سهره خانگی,14,9,4,1,13,69.23,64.29,28.57,7.14,0.4237,0.8732,0.266846,6,7,1,7,7
class_0012_002012,class_0012/002012-class0012.png,12,house finch,سهره خانگی,14,13,1,0,14,92.86,92.86,7.14,0.0,0.6853,0.9873,0.001831,9,5,0,8,6
class_0015_000015,class_0015/000015-class0015.png,15,robin,سینه‌سرخ,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,7,6,1,9,5
class_0015_001015,class_0015/001015-class0015.png,15,robin,سینه‌سرخ,14,11,1,2,12,91.67,78.57,7.14,14.29,0.6461,0.9851,0.006348,6,6,2,6,8
class_0015_002015,class_0015/002015-class0015.png,15,robin,سینه‌سرخ,14,0,12,2,12,0.0,0.0,85.71,14.29,0.0,0.2425,0.000488,5,7,2,8,6
class_0051_000051,class_0051/000051-class0051.png,51,triceratops,تریسراتوپس,14,12,0,2,12,100.0,85.71,0.0,14.29,0.7575,1.0,0.000488,6,6,2,7,7
class_0051_001051,class_0051/001051-class0051.png,51,triceratops,تریسراتوپس,14,0,9,5,9,0.0,0.0,64.29,35.71,0.0,0.2992,0.003906,4,5,5,8,6
class_0051_002051,class_0051/002051-class0051.png,51,triceratops,تریسراتوپس,14,1,13,0,14,7.14,7.14,92.86,0.0,0.0127,0.3147,0.001831,9,5,0,4,10
class_0064_000064,class_0064/000064-class0064.png,64,green mamba,مامبای سبز,14,3,9,2,12,25.0,21.43,64.29,14.29,0.0889,0.5323,0.145996,7,5,2,5,9
class_0064_001064,class_0064/001064-class0064.png,64,green mamba,مامبای سبز,14,3,5,6,8,37.5,21.43,35.71,42.86,0.1368,0.6943,0.726563,5,3,6,9,5
class_0064_002064,class_0064/002064-class0064.png,64,green mamba,مامبای سبز,14,8,3,3,11,72.73,57.14,21.43,21.43,0.4343,0.9025,0.226563,5,6,3,7,7
class_0070_000070,class_0070/000070-class0070.png,70,harvestman,درازپایان,14,4,6,4,10,40.0,28.57,42.86,28.57,0.1682,0.6873,0.753906,6,4,4,5,9
class_0070_001070,class_0070/001070-class0070.png,70,harvestman,درازپایان,14,12,1,1,13,92.31,85.71,7.14,7.14,0.6669,0.9863,0.003418,9,4,1,8,6
class_0070_002070,class_0070/002070-class0070.png,70,harvestman,درازپایان,14,1,11,2,12,8.33,7.14,78.57,14.29,0.0149,0.3539,0.006348,5,7,2,8,6
class_0096_000096,class_0096/000096-class0096.png,96,toucan,توکان,14,9,3,2,12,75.0,64.29,21.43,14.29,0.4677,0.9111,0.145996,3,9,2,6,8
class_0096_001096,class_0096/001096-class0096.png,96,toucan,توکان,14,4,7,3,11,36.36,28.57,50.0,21.43,0.1517,0.6462,0.548828,7,4,3,4,10
class_0096_002096,class_0096/002096-class0096.png,96,toucan,توکان,14,1,12,1,13,7.69,7.14,85.71,7.14,0.0137,0.3331,0.003418,8,5,1,4,10
class_0099_000099,class_0099/000099-class0099.png,99,goose,غاز,14,2,8,4,10,20.0,14.29,57.14,28.57,0.0567,0.5098,0.109375,4,6,4,6,8
class_0099_001099,class_0099/001099-class0099.png,99,goose,غاز,14,2,9,3,11,18.18,14.29,64.29,21.43,0.0514,0.477,0.06543,4,7,3,9,5
class_0099_002099,class_0099/002099-class0099.png,99,goose,غاز,14,8,5,1,13,61.54,57.14,35.71,7.14,0.3552,0.8229,0.581055,9,4,1,6,8
