record_type	source_system	publisher	entity	title	summary	link	published_at	search_keyword	primary_hits	matched_tags	secondary_hits	language	region	summary_kr	summary_source
news	naver_news	이데일리	Private Credit Market	日서도 '사모대출 펀드' 1년새 2.5배 급증…환매 러시 '촉각'	미국에 이어 일본에서도 고수익을 미끼로 개인 투자자를 끌어들여 온 프라이빗 크레딧(사모대출) 펀드 판매가 급증해 우려가 커지고 있다. 미국에서는 대규모 환매(해지) 요청이 쏟아지며 경고등이 켜진 상황이다....	http://www.edaily.co.kr/news/newspath.asp?newsid=04460806645419072	2026-04-23 14:20	사모대출	사모대출	시장심리, 유동성_환매	환매, 대규모 환매	ko	KR	일본 증권사의 미국 프라이빗 크레딧 펀드 판매 잔고가 1년 새 2.5배 늘어 2월 말 기준 약 7500억 엔을 기록했음. 미국 내 환매 사태로 리스크 전이 우려가 커지자 일본 금융청이 주요 은행 실태조사에 착수했음.	body
news	naver_news	서울경제	Blackstone, Private Credit Market	사모대출 덮친 ‘복병’ 헬스케어...블랙스톤·KKR, 2조 부실 비상	22일(현지 시간) 블룸버그통신에 따르면 1975년에 설립된 치과 경영 서비스 기업 ‘어포더블케어’가 실적 악화로 14억 달러(약 2조 원) 규모의 사모 대출 상환에 어려움을 겪고 있다. 이에 최대 채권자로 알려진...	https://www.sedaily.com/article/20036374?ref=naver	2026-04-23 17:40	사모대출	사모대출	신용부실, 운용사_블랙스톤	블랙스톤, 부실	ko	KR	치과 경영 서비스 기업 어포더블케어가 약 2조 원 규모의 사모 대출 상환에 어려움을 겪으며 블랙스톤, KKR 등이 채무 구조조정을 논의 중임. 헬스케어 분야의 기업 신용 등급 하락 등 사모 대출 부실 우려가 확산되고 있음.	body
news	naver_news	연합뉴스	Private Credit Market	美금융당국, 사모신용 감시 강화…부실 전이 가능성 점검	사모신용은 은행이 아닌 사모펀드 등이 기업에 직접 대출을 제공하는 형태로, 최근 몇년간 급성장하며 시장 규모가 약 3조달러에 이르는 것으로 추정된다. 최근 일부 기업 부실과 투자자 환매 요청이 맞물리며 시장...	https://www.yna.co.kr/view/AKR20260424003100072?input=1195m	2026-04-24 2:38	사모대출	사모신용	신용부실, 유동성_환매	환매, 환매 요청, 부실	ko	KR	미 SEC·재무부·연준이 약 3조 달러 규모의 사모신용 시장에 대한 관리·감독을 강화함. 자산 평가 및 이해충돌 여부를 조사하고 블루아울 캐피털 등을 점검하며 금융 시스템 전이 가능성을 확인 중임.	body
news	naver_news	한국경제	Private Credit Market	美 금융당국, 3조달러 사모대출 리스크 정조준	미국 금융당국이 3조달러 규모 사모대출 시장에 쌓인 위험을 파악하기 위해 조사를 본격화하고 있다. 투자자 환매 불안과 자금 유입 둔화가 겹치면서 신용시장의 불투명성이 금융시스템 리스크로 번질 수 있는지 살펴보기...	https://www.hankyung.com/article/202604243464i	2026-04-24 8:36	사모대출	사모대출	시장심리, 유동성_환매	환매, 불안	ko	KR	美 금융당국이 3조 달러 규모 사모대출 시장의 불투명성과 이해상충 등 리스크 조사를 본격화함. 투자자 환매 불안과 자금 유입 둔화에 따른 금융시스템 리스크 전이 가능성을 점검함.	body
news	naver_news	연합인포맥스	Blackstone, Private Credit Market	블랙스톤, 깜짝 실적에도 사모대출 우려…주가 5.7% 급락	아울러 주력 펀드인 사모대출 펀드 BCRED에서 발생한 37억 달러 규모의 자금 유출은 '운용자산(AUM) 1조3천억 달러'라는 화려한 외형 이면의 불안 요소를 부각시킨다고 잭스 에쿼티 리서치는 지적했다. 인공지능(AI)...	https://news.einfomax.co.kr/news/articleView.html?idxno=4411515	2026-04-24 12:58	사모대출	사모대출	시장심리, 운용사_블랙스톤	BCRED, 블랙스톤, 불안	ko	KR	블랙스톤이 1분기 주당순이익 1.36달러, 총 운용자산 1조 3천억 달러를 기록하며 시장 예상치를 상회했음. 그러나 사모 대출 수익성 악화와 BCRED 펀드 37억 달러 유출 우려에 주가가 5.7% 급락했음.	body
news	naver_news	연합뉴스	Private Credit Market	미 증권거래위, 사모대출 전격조사	로이터=연합뉴스 미국 금융 규제당국이 3조달러 규모 사모대출 시장에 대한 점검을 확대하고 있다. 투자자들의 환매 요구가 늘고 일부 대출 부실 우려가 커지자, 금융 시스템으로 위험이 번질 가능성을 미리 살피겠다는...	https://www.naeil.com/news/read/586601?ref=naver	2026-04-24 13:04	사모대출	사모대출	시장심리, 신용부실, 유동성_환매	환매, 환매 요구, 부실	ko	KR	미 증권거래위원회(SEC)가 3조 달러 규모 사모대출 시장 부실 점검을 위해 대형 운용사를 조사함. 미 재무부와 연준도 금융 시스템 전이 가능성을 우려해 위험 노출 규모를 점검하고 있음.	body
news	naver_news	서울경제	Private Credit Market	美SEC·재무부·연준, 사모대출 전방위 조사...‘시스템 위기 차단’ 규...	미국 금융 규제당국이 사모대출 시장 전방위 조사에 착수했다. 당국이 사모대출을 받은 기업들의 부도와 투자자 환매 요구 증가를 계기로 한층 더 강화된 규제를 내놓을 지 주목된다. 월스트리트저널(WSJ)은 23일(현지...	https://www.sedaily.com/article/20036800?ref=naver	2026-04-24 15:09	사모대출	사모대출	시장심리, 유동성_환매	환매, 환매 요구, 위기	ko	KR	미국 SEC, 재무부, 연준이 사모대출 시장의 자산 평가 및 공시 준수 여부를 전방위 조사함. 기업 부도 및 환매 요청 증가에 따른 시스템 위기를 차단하고 규제를 강화하기 위한 선제적 조치임.	body
news	naver_news	연합인포맥스	BDC Sector, Blackstone, Private Credit Market	이자 받았는데 남는 게 없네…블랙스톤 사모대출 펀드, 1Q '본전'	세계 최대 자산운용사인 블랙스톤이 운영하는 사모대출 펀드(BDC)가 올해 1분기 짭짤한 이자 수익을 거두고도 정작 전체 수익률은 '0%' 수준에 그쳤다는 분석이 나왔다. 빌려준 돈에 대한 이자는 잘 받았지만, 시장 상황이...	https://news.einfomax.co.kr/news/articleView.html?idxno=4411693	2026-04-26 9:06	사모대출	사모대출	운용사_기타, 운용사_블랙스톤	블랙스톤, BDC	ko	KR	블랙스톤 사모대출 펀드(BCRED)의 1분기 수익률이 자산 가치 하락으로 보합 수준을 기록했음. 전체 자산의 30% 이상인 소프트웨어 기업 대출 시장의 가격 하락이 주요 원인임.	body
news	naver_news	이데일리	Private Credit Market	사모신용, 퍼펙트 스톰에 대응 전략은[글로벌 View]	사모 신용은 자산운용사나 사모펀드와 같은 비은행 기관이 공모 시장을 거치지 않고 기업에 직접 대출을 제공하는 것을 의미한다. 최근 몇 달 사이 사모 신용을 둘러싼 우려가 크게 드러나고 있으며 특히 유동성 압박과...	http://www.edaily.co.kr/news/newspath.asp?newsid=01102086645420384	2026-04-27 5:01	사모대출	사모신용	시장심리, 유동성_환매	유동성	ko	KR	사모신용은 투명성 부족, 운용사 역량 격차, AI 기반 소프트웨어 산업 리스크 등의 우려가 있음. 향후 5년간 기대 수익률은 약 8.6%로 공모 회사채보다 매력적이며 현재는 상황 관망이 적절함.	body
news	naver_news	연합뉴스	Blue Owl, Private Credit Market	환매 막힌 사모대출 투자자들, "지분 사겠다" 제안 거부	블루아울 펀드, 35% 할인가격 공매 참여 저조 운용사가 환매를 영구 중단해 사모대출 부실화 우려를 촉발했던 펀드의 투자자들이 할인된 가격에 지분을 인수하겠다는 외부의 제안을 거부했다. '런던 고래'로 불렸던...	https://www.yna.co.kr/view/AKR20260428065300009?input=1195m	2026-04-28 10:33	사모대출	사모대출	시장심리, 신용부실, 운용사_블루아울, 유동성_환매	블루아울, 환매, 부실	ko	KR	사바 캐피털이 블루아울 캐피털의 '블루아울 캐피털 코프Ⅱ' 지분을 순자산가치 대비 35% 할인해 매입하려 했으나, 청약 지분이 1% 미만에 그쳤음. 투자자들이 저가 현금화보다 지분 보유를 선호한 결과임.	body
